2025-12-22 11:46:29,466 | INFO | backend | YouTube URL already exists in DB for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:46:40,470 | INFO | backend | Create transcript job for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:46:40,505 | INFO | backend | Start transcribing job 1d8f96d7-d9fb-483d-ad46-ae12189cd63f
2025-12-22 11:48:52,612 | INFO | backend | Running whisper on https://www.youtube.com/watch?v=n8xX8M0U3aY
2025-12-22 11:51:23,459 | INFO | backend | Application shutdown
2025-12-22 11:51:32,904 | INFO | backend | Database connected successfully
2025-12-22 11:51:38,573 | INFO | backend | Application shutdown
2025-12-22 11:51:44,044 | INFO | backend | Database connected successfully
2025-12-22 11:52:09,280 | INFO | backend | Application shutdown
2025-12-22 11:52:13,787 | INFO | backend | Database connected successfully
2025-12-22 11:53:14,480 | INFO | backend | Application shutdown
2025-12-22 11:53:23,126 | INFO | backend | Database connected successfully
2025-12-22 11:54:09,746 | INFO | backend | Received YouTube URL: https://www.youtube.com/watch?v=n8xX8M0U3aY
2025-12-22 11:54:09,765 | INFO | backend | YouTube URL already exists in DB for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:54:23,170 | INFO | backend | Create transcript job for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:54:23,199 | INFO | backend | Start transcribing job 4b26be3e-273c-4d49-b96c-922fca6add55
2025-12-22 11:57:54,028 | INFO | backend | Application shutdown
2025-12-22 11:58:01,112 | INFO | backend | Database connected successfully
2025-12-22 11:58:01,120 | INFO | backend | Received YouTube URL: https://www.youtube.com/watch?v=n8xX8M0U3aY
2025-12-22 11:58:01,129 | INFO | backend | YouTube URL already exists in DB for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:58:08,876 | INFO | backend | Create transcript job for video c434e8dc-75de-411f-9a85-083d7a585a1a
2025-12-22 11:58:08,890 | INFO | backend | Start transcribing job e9f0ef34-b86f-4ad9-99c4-50273db225c3
2025-12-22 11:58:08,949 | INFO | backend | Downloading YouTube audio
2025-12-22 12:00:44,097 | INFO | backend | Running whisper on ./src/videos\2f3e5796-2f9f-40c8-bd00-92069283faa8.mp3
2025-12-22 12:02:03,853 | INFO | backend | Finished job e9f0ef34-b86f-4ad9-99c4-50273db225c3
2025-12-22 12:03:29,723 | INFO | backend | Application shutdown
2025-12-22 17:45:30,765 | INFO | backend | Database connected successfully
2025-12-22 17:46:47,543 | INFO | backend | Application shutdown
2025-12-22 17:47:00,821 | INFO | backend | Database connected successfully
2025-12-22 17:53:58,885 | INFO | backend | Received YouTube URL: https://www.youtube.com/watch?v=Gp340_5dT5g
2025-12-22 17:53:59,243 | INFO | backend | Created video 11519cff-00ff-4ede-be23-3da1eacda855 and video_source 49644287-457f-4a4e-bfe7-0b0a71d3956d for YouTube URL
2025-12-22 17:54:09,345 | INFO | backend | Create transcript job for video 11519cff-00ff-4ede-be23-3da1eacda855
2025-12-22 17:54:09,436 | INFO | backend | Start transcribing job 08aa6c23-f84e-4462-8feb-230a78732636
2025-12-22 17:54:09,447 | INFO | backend | Downloading YouTube audio
2025-12-22 17:56:32,744 | INFO | backend | Running whisper on ./src/videos\ecf3a821-66b0-4c56-b345-31dc5fbb74ab.mp3
2025-12-22 17:57:36,420 | INFO | backend | Finished job 08aa6c23-f84e-4462-8feb-230a78732636
2025-12-22 18:01:02,753 | INFO | backend | Received YouTube URL: https://www.youtube.com/watch?v=voypO0L4knM
2025-12-22 18:01:02,980 | INFO | backend | Created video 33ebcd21-bf93-40ec-9de6-8a0383c7e1fe and video_source 49d1f5bc-a38c-4b81-8eff-eb061e7542a8 for YouTube URL
2025-12-22 18:01:12,659 | INFO | backend | Create transcript job for video 33ebcd21-bf93-40ec-9de6-8a0383c7e1fe
2025-12-22 18:01:12,699 | INFO | backend | Start transcribing job 31f466cc-ccc5-47c0-ab41-8af567c740fd
